nombre,run,0,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
,1925574,3,,Martavaldés,6ottiH4pPV0X,"+56 9 9890 8871",Nocturno,Banmédica,"Full time",573700,64246,2025/08/01,191000,1,,17389,Majadahonda,Coslada,2025/09/05,2025/09/07,90,3883,191000,"DSB (Dinamarca)",,,{},,{}
"Gustavo Benavides Ulibarri",0,4,,Gustavoulibarri,LsIFDHHt1O3Q8Hpe,+56-9-0059-6890,Diurno,Banmédica,"Part time",573931,65043,2025-04-12,206000,2,"No disponible",7626,,"CASTELLóN DE LA PLANA!!!",2026-08-21,2026-08-21,,986,103000,,,{},{Logroño},"Clase económica",{}
"Gilberto Mata Pulido",14633657,10,,gimapu,iEIIJ6VLDvtvUm1S,,Nocturno,Consalud,,,68860,2025-06-09,2904000,8,"No disponible",15720,"San Fernando",MAJADAHONDA!!!,2026-08-15,2026-08-17,43,2926,363000,Trenitalia,,"{""Asientos reclinables"",Agua,Baño,""Aire acondicionado"",TV,Comida}",{},,"{""Sanlúcar de Barrameda"",Ávila,Ponferrada,""La Línea de la Concepción""}"
"Sta. María Soledad Lemus Olivas",3668684,7,,stmasoleol,tnYy5um8QP5,"+56 2 5550 2573",Nocturno,Fonasa,"Part time",574166,63985,,1216000,8,,99557,Bilbao,Sagunto,2026-04-15,2026-04-17,42,3001,152000,,,"{TV,Calefacción,Baño,Comida,Wifi,Agua}",{},,{}
,8661650,5,,Sra.magaña,3GZvsCFd3ESh6,"+56 2 3254 6873",,Colmena,"Part time",574410,69917,2025/01/03,-704000,4,"No disponible",60251,Barcelona,"POZUELO DE ALARCóN!!!",2025/05/26,2025/05/28,40,3457,,,Cama,"{""Aire acondicionado"",Comida,TV}",{},,{}
"Natalia Vela Yáñez",26320093,4,,natalia2531,t0PL94MP5,"+56 2 0098 0497",Diurno,Fonasa,"Part time",574555,70204,2025-03-18,-265000,,"No disponible",,Ferrol,Cartagena,,2025-11-01,32,,53000,Greyhound,Normal,"{Agua,Comida,TV}",{},,{}
,1939794,7,,maludear,Zv8biph4WQAFzuN,"+56 2 9847 2914",Nocturno,,"Full time",574652,69365,2026-07-09,-1242000,9,,60103,"torrejón de ardoz#",Rivas-Vaciamadrid,2026-07-29,2026-07-29,72,1419,138000,AVE,,"{Calefacción,Agua,""Asientos reclinables""}",{},,"{Lugo,Ferrol,""Cerdañola del Vallés"",""Santa Cruz de Tenerife""}"
"Jorge Luis Arellano Salgado",18978900,9,,,AUQFkUx4nSN2uTAO,"+56 9 5325 6174",Diurno,Fonasa,"Part time",574675,70103,2025-09-02,555000,5,"No disponible",93206,Pontevedra,Oviedo,2026-11-12,2026-11-14,,3262,,,Cama,"{Baño,TV,Wifi}",{},,{}
"Micaela Ibarra Núñez",27565816,2,,,2wAMwOySkuKx0U,"+56 2 8568 3825",Nocturno,Consalud,"Full time",574881,63771,,171000,3,"No disponible",68605,"Chiclana de la Frontera",Barcelona,2025/06/03,2025/06/04,,1980,57000,,,"{""Aire acondicionado"",Comida,Agua,Wifi}",{},,"{Ferrol,Oviedo,""La Línea de la Concepción"",Reus}"
"Sra. Daniela Granado Pelayo",9523927,7,,sra.2281,M6NcJIDifdJ2Oq1,"+56 2 8807 8255",Diurno,Fonasa,,574899,69735,2025-11-21,364000,2,"No disponible",,Gandía,,,2026-07-16,62,1678,182000,"VR (Finlandia)",,"{Agua,""Asientos reclinables"",Wifi,Baño}",{},,"{Pamplona,Sevilla,Cartagena,Murcia,Madrid}"
"Irene Quintana Ibarra",333672,7,,irquib,fF3AYDbLHm6U,,Nocturno,Fonasa,"Part time",575263,64752,2025-10-14,,6,"No disponible",,Madrid,Valencia,,2026-10-05,28,3076,232000,JetBlue,,{},"{Zaragoza,""La Línea de la Concepción"",Alcorcón,Valdemoro}","Primera clase",{}
"Rubén Ozuna Dávila",26282292,3,,Rubéndávila,,"+56 2 3795 9393",Diurno,Fonasa,,575499,64339,2025-01-06,,,"No disponible",47009,Reus,Lérida,2025-09-09,2025-09-11,47,4006,159000,Plusmar,Cama,"{""Aire acondicionado"",Baño,Calefacción}",{},,{}
"Ricardo Cortés Vergara",1587963,7,,,,+56-9-5086-4390,Diurno,Fonasa,"Part time",575970,70499,2025-05-19,1568000,8,"No disponible",48088,,"Roquetas de Mar",2025-06-19,2025-06-20,43,,196000,Socibus,Cama,"{""Aire acondicionado"",Agua,""Asientos reclinables""}",{},,{}
,19359573,1,,matebadí,c42ngkAT439Q,"+56 2 7935 0874",Nocturno,"Más vida","Full time",576092,64142,2025-01-19,,1,"No disponible",89144,Badajoz,Alcorcón,2026-01-31,,47,2345,191000,"Primera Plus",Cama,"{Comida,""Aire acondicionado"",Agua}",{},,
"Jorge Luis Carrero Alanis",5597086,6,,Jorgealanis,,"+56 2 1886 2248",Diurno,,"Part time",576454,69234,2025-09-13,-256000,,,72350,Torremolinos,CEUTA!!!,2026-11-19,2026-11-20,50,2834,128000,Damas,Cama,"{Baño,Comida,""Asientos reclinables""}",{},,{}
"Jacobo Velázquez Ibarra",4386890,10,,,24uc3YWHwTM,"+56 2 9468 0545",Diurno,"Más vida","Part time",577032,68332,2025-04-04,,10,"No disponible",10564,Pontevedra,"Roquetas de Mar",2025-07-29,,6,2577,90000,"CD (República Checa)",,"{""Asientos reclinables"",Calefacción,TV,Agua,Comida}",{},,"{""Cornellá de Llobregat""}"
"Julio Prado Esquivel",5795648,8,,julio5438,Z252KsSc,"+56 9 7499 6483",,Banmédica,"Part time",577478,65389,2025/10/04,-819000,7,"No disponible",,"Hospitalet de LLobregat",LUGO!!!,2026/04/22,2026/04/22,43,,117000,"Flecha Bus",,"{Baño,Agua,Wifi}",{},,{}
"Sr. Rosa Tovar Valdivia",9633119,3,,Sr.valdivia,,"+56 2 5293 0243",Diurno,Colmena,"Full time",578312,63252,2025-11-21,720000,8,,4132,león#,Gandía,2025-12-17,2025-12-18,33,1998,90000,,Cama,,{},,{}
"Sta. Silvia Ledesma Ortiz",17642980,1,,stsileor,,"+56 9 4327 9603",Diurno,,,578320,67460,2025-03-28,231000,7,"No disponible",,Paterna,Alicante,2025-04-08,2025-04-08,33,266,33000,BoltBus,Semi-cama,"{""Asientos reclinables"",Wifi,Calefacción}",{},,{}
"Lola Berríos Alcaraz",4943023,10,,,xOn7YBc00rJ66puL,"+56 2 8828 9826",Nocturno,Fonasa,"Part time",,62930,2025-11-26,600000,,"No disponible",38676,Majadahonda,"Alcalá de Henares",2026-02-22,2026-02-23,39,2755,60000,"ETN Turistar",Cama,"{Baño,TV,Comida}",,,{}
"Marta Urías Cruz",16928843,10,,marta572,vAUiEvlWt0v,"+56 9 4814 2071",Diurno,Consalud,"Part time",579256,71549,2025-02-11,476000,7,,56811,Cáceres,Cuenta,2026-03-20,2026-03-20,11,,68000,,,{},{Cartagena},"Clase económica",{}
"Gabriel Zelaya Castillo",26536420,9,,gazeca,pzQ0cAbfL,"+56 9 5106 8627",,Fonasa,"Full time",579523,68001,2025-01-24,1071000,,"No disponible",54545,Córdoba,Estepona,2025-10-16,2025-10-18,,3391,119000,Andesmar,Cama,,{},,{}
"Elvira Perea Flórez",8395900,10,,elvira7817,,+56-9-1209-1184,Nocturno,Colmena,"Part time",579540,71402,2025-01-14,-189000,3,"No disponible",41073,Madrid,Alcoy,2025-02-04,2025-02-04,,,63000,Trenitalia,,"{Baño,Wifi,TV}",{},,"{Rubí,Lérida,Inca,Bilbao}"
"Sta. José Emilio Reynoso Ramos",6877317,2,,sta.1212,NHZeW9crLerXBNw,"+56 2 8321 6537",Diurno,Consalud,"Full time",580087,67528,2025-07-04,2776000,8,"No disponible",,,Mataró,2026-04-01,,85,3482,347000,"British Airways",,{},"{Badalona,Almería,""Mollet del Vallés""}","Clase ejecutiva",
,24170462,9,,rebeca6143,PC6wxrIuAIp6MY8,"+56 9 5092 9074",Diurno,"Más vida","Full time",580172,70272,2026/08/25,-1820000,7,"No disponible",,"El Puerto de Santa María",Mérida,2026/11/13,2026/11/15,,3792,260000,"LATAM Airlines",,{},"{Puertollano,Algeciras,""La Línea de la Concepción"",Gerona}",,{}
"Rosa Véliz Dueñas",5619811,3,,rovédu,AU0A2Riwl8Ya6Az,"+56 9 4648 0985",Diurno,Banmédica,"Part time",580202,61168,2025-05-10,441000,7,,66610,,Getafe,2025-07-18,,18,1016,,Lufthansa,,{},{},"Clase económica",{}
,2968846,10,,gregorio1568,z1xhgM4rXKx,"+56 9 1448 1901",,,"Part time",580315,65581,2025-01-29,250000,5,"No disponible",94154,Badalona,Palencia,2025-04-18,2025-04-18,41,1324,50000,"Flecha Bus",,"{""Aire acondicionado"",Calefacción,Agua}",{},,{}
"Cecilia Alarcón Delvalle",9270687,7,,cealde,L2sgTbf2K14Ll0O,"+56 9 7912 8890",Diurno,"Más vida","Part time",580323,65581,,-790000,5,"No disponible",42551,Palencia,,2025-04-25,2025-04-27,36,3966,158000,Megabus,,"{Wifi,Baño,TV}",{},,{}
"Miguel Ramos Ponce",12806456,7,,Miguelponce,gcgiVkO6Ff,,Nocturno,Banmédica,"Part time",580399,61439,2026-01-05,,7,"No disponible",,Sevilla,"La Línea de la Concepción",2026-02-12,2026-02-14,89,3479,289000,,,"{Agua,Comida,""Asientos reclinables"",""Aire acondicionado"",Calefacción,TV}",{},,{Reus}
"Graciela Alvarado Miramontes",0,10,,,2LMVuBWyi,"+56 9 1316 0500",Diurno,Banmédica,"Full time",580896,61589,2025-12-25,-1260000,9,"No disponible",41203,Jaén,Cartagena,2026-05-02,,33,2959,140000,Turbus,Cama,"{Agua,""Aire acondicionado"",Baño}",{},,{}
"Ana Frías Terán",7586572,4,,anfrte,MXGOlN286S,"+56 2 8389 3727",,,"Full time",580937,66917,2025-08-30,-1890000,10,,20608,elche#,Logroño,2026-04-25,2026-04-26,44,2167,189000,BoltBus,Cama,"{Comida,TV,""Aire acondicionado""}",,,{}
"Sancho Montaño Quezada",20122337,7,,sancho6788,z9EdKv4nKhOh4b8,"+56 9 7922 9710",Diurno,Consalud,"Part time",581026,65541,2025-04-22,186000,,,35427,Zamora,Granollers,2025-07-30,2025-07-30,35,276,186000,"Turkish Airlines",,{},{},"Clase ejecutiva",
,17567522,1,,,btk8CggW,"+56 9 3097 6920",,Fonasa,"Full time",581037,,2025-12-19,896000,7,"No disponible",88493,"Santa Coloma de Gramanet",ORENSE!!!,2026-04-23,2026-04-24,38,2583,128000,"EME Bus",Cama,"{Comida,Baño,Wifi}",{},,{}
"José Eduardo Fajardo Carbajal",9512507,7,,Josécarbajal,pGTzHaU5r,,Diurno,Colmena,"Full time",581343,70024,2025-10-15,-372000,2,,56841,Valencia,Rivas-Vaciamadrid,2026-07-03,2026-07-04,42,,186000,Megabus,Cama,"{""Asientos reclinables"",Wifi,TV}",{},,{}
"Gilberto Caraballo Osorio",0,8,,Gilbertoosorio,Ntq7iltaKhs,"+56 9 8441 5834",Nocturno,"Más vida",,581412,64514,2025-02-09,-154000,2,"No disponible",23355,,"El Prat de LLobregat",2025-02-23,2025-02-23,89,1092,77000,"Alaska Airlines",,{},{Burgos},,{}
"Luz Alvarez Carbajal",20771710,10,,lualca,yXJs8EIwFpIR18,,Nocturno,Consalud,"Part time",581637,67491,2025-04-20,670000,5,"No disponible",10212,Barcelona,ÁVILA!!!,2025-12-30,2025-12-31,100,,134000,"Air New Zealand",,{},{Fuengirola},"Clase económica",{}
"Ernesto Cotto Delgado",25745262,10,,ercode,vm9wvuprFSHv6K,,Diurno,"Más vida","Part time",,68296,,285000,3,"No disponible",19658,,Benalmádena,2026-05-15,2026-05-16,3,2020,95000,"Southwest Airlines",,{},"{""Molina de Segura""}","Clase ejecutiva",{}
"Concepción Badillo Hernández",18660662,10,,concepción6771,ZujU1nI76XiOs8O,"+56 9 4736 0793",Diurno,Banmédica,"Full time",581836,62950,2025/05/20,1490000,10,"No disponible",40364,Rubí,,2025/06/19,,33,1477,,Damas,Cama,"{TV,""Aire acondicionado"",Baño}",{},,
"Susana Paredes Medina",0,8,,Susanamedina,y8ylaZ1HShk5h,+56-2-8055-4815,Nocturno,Fonasa,"Full time",581970,69095,2025/12/15,,3,"No disponible",28566,Valdemoro,Gijón,2026/01/15,,,3317,197000,Avanza,Cama,"{Wifi,Calefacción,""Aire acondicionado""}",{},,{}
"César Collado Roque",2899442,7,,,pZM5TJ1znS,"+56 2 3263 9634",Nocturno,"Más vida","Full time",,68401,2025-07-28,,8,"No disponible",37842,Guadalajara,,2025-10-28,2025-10-30,49,3648,137000,Chevallier,Cama,"{Comida,Agua,""Asientos reclinables""}",{},,{}
"Ricardo Munguía Perea",12745053,10,,Ricardoperea,FmfNpJDOL8se29w,"+56 9 9333 1752",Diurno,Banmédica,"Part time",582299,71601,,1092000,6,"No disponible",9000,Reus,,2026-05-29,2026-05-31,48,3726,182000,"CD (República Checa)",,,{},,"{Avilés,""Pozuelo de Alarcón""}"
"Conchita Espino Paz",9023728,4,,,dCAUsLcO0,"+56 2 7616 6243",,,"Full time",582305,61830,2025-01-12,2214000,,"No disponible",43045,Cartagena,"Santiago de Compostela",2025-07-25,2025-07-26,17,2561,246000,"NSB (Noruega)",,"{Agua,TV,Calefacción,""Asientos reclinables"",Comida}",{},,"{Palencia,""Chiclana de la Frontera"",Sagunto,Benidorm}"
"Benito Ruelas Montoya",12864754,6,,benito5343,uB8XM1MO3Y,+56-9-6846-0639,Nocturno,,,582593,68035,2026-05-04,784000,8,"No disponible",93581,Ceuta,Rivas-Vaciamadrid,,2026-09-12,33,2404,98000,"Pullman Bus",Cama,"{Baño,""Asientos reclinables"",TV}",{},,{}
"Felipe Meza Juárez",26109320,10,,felipe4554,MdRG7Y3tZxJ,+56-2-2452-0461,Nocturno,Colmena,"Part time",582796,71205,2026-03-02,549000,3,"No disponible",56244,Málaga,"Collado Villalba",,2026-09-18,97,2720,183000,"SJ (Suecia)",,,,,
"Luis Moya Chapa",3823505,10,,luis8608,9UJlSpUQts,"+56 2 6537 5504",Diurno,Fonasa,"Part time",583238,68517,2025-08-16,,6,"No disponible",848,Estepona,Cáceres,2026-02-14,2026-02-14,27,1120,124000,,,{},{Arrecife},,{}
"Gregorio Granados Benítez",16699553,10,,gregorio6708,LEY6BNk1hDAaT,+56-9-7775-2304,Diurno,Consalud,"Part time",583350,66930,2025-06-29,462000,,"No disponible",41510,Linares,Guadalajara,2025-08-21,,22,802,77000,WestJet,,,"{""Santa Lucía de Tirajana""}","Clase económica",{}
"Leticia Carranza Rodrígez",28442109,4,,leticia3452,x3ZuFg69H2,"+56 2 7338 3345",Diurno,Fonasa,"Full time",583454,66823,2026-06-08,,1,,21454,arrecife#,Benidorm,2026-07-02,2026-07-03,,2391,296000,"VR (Finlandia)",,,{},,"{Alcorcón,Zaragoza,Rubí,Fuengirola,Tarragona}"
"Sta. Homero Rodríguez Collado",3845334,10,,Sta.collado,V6l7wupEzoHb7wUP,+56-9-8505-3055,Diurno,Colmena,"Full time",583992,66715,2025-05-23,-476000,4,"No disponible",,Getafe,Palencia,2025-10-19,2025-10-20,22,2498,119000,,,{},{},"Clase ejecutiva",{}
"Magdalena Peña Treviño",0,10,,magdalena2408,f6fI5IVP,"+56 9 9372 0719",Nocturno,Fonasa,"Full time",584064,68306,2025-04-13,-112000,2,"No disponible",15866,avilés#,"HOSPITALET DE LLOBREGAT!!!",2026-11-08,,75,2138,56000,,,"{Calefacción,TV,Baño,Agua}",,,"{Baracaldo,""Palma de Mallorca"",Mataró,Barcelona}"
"Natalia Sisneros Zambrano",10246502,4,,,pXCh59BHtRt7Vz,+56-9-0953-2228,Nocturno,Fonasa,,584169,68958,2025-05-07,768000,,"No disponible",22927,Cuenta,Huelva,2026-02-08,2026-02-09,28,2142,128000,"CFR (Rumania)",,"{TV,""Asientos reclinables"",Calefacción,Comida}",{},,{}
"Timoteo Alarcón Montenegro",2343389,10,,,8UACbI4Tje,+56-2-2550-2528,Diurno,Consalud,"Part time",584212,68234,2025-02-27,-507000,3,,43662,"Roquetas de Mar",TORREMOLINOS!!!,,2026-01-29,79,4198,169000,"CP (Portugal)",,"{Agua,Baño,""Aire acondicionado"",""Asientos reclinables"",Comida,Calefacción,Wifi}",{},,{Parla}
"María Soledad Briones Espinosa",11871930,1,,maría6146,0G4ExW0IT6Acb,,Nocturno,Consalud,,584379,63479,,2288000,8,"No disponible",39015,málaga#,Huelva,2025-08-22,2025-08-23,7,2614,286000,"ŽFBH (Bosnia y Herzegovina)",,,{},,{Calahorra}
"Luis Miguel Alaniz Solorio",0,1,,,,+56-9-8560-2159,,Banmédica,"Full time",584473,66410,2026-09-23,872000,8,"No disponible",42256,Salamanca,Valencia,2026-11-25,2026-11-26,45,1549,109000,"Crucero del Norte",Cama,"{Comida,TV,Baño}",{},,{}
"Sr. Ernesto Cervantes Linares",1641593,6,,srerceli,Idx40pPrNl0yE,"+56 9 1156 4321",Nocturno,Colmena,"Full time",584490,61820,,774000,9,"No disponible",,,,2025-05-30,2025-05-30,42,399,86000,Megabus,Semi-cama,"{Calefacción,TV,""Aire acondicionado""}",{},,{}
"Caridad Cardona Figueroa",22228813,4,,caridad9491,rI5v8uZt,"+56 2 8996 4545",Nocturno,Colmena,"Part time",584515,,,1660000,5,"No disponible",13533,,"Molina de Segura",2026/05/23,2026/05/25,51,3952,332000,,,"{Comida,Agua,TV,""Asientos reclinables"",Wifi,Calefacción,""Aire acondicionado""}",{},,{Cartagena}
,23643738,8,,,GNl1UCpB,"+56 9 3830 6002",Diurno,Consalud,,584570,61434,2025-01-30,18000,2,,96163,"Santa Cruz de Tenerife",Telde,2025-01-31,2025-01-31,91,259,9000,"Delta Air Lines",,{},{},"Clase ejecutiva",{}
"Octavio Armijo Galindo",29420533,10,,octavio4783,gcJqXLL7XfGZcBu,"+56 9 0833 9471",,Fonasa,"Part time",584728,61929,2025/09/14,1056000,8,"No disponible",32220,Gecho,,,2026/11/17,30,3843,132000,Socibus,Cama,"{TV,Comida,Calefacción}",{},,
"Josefina Castro Heredia",1551093,5,,Josefinaheredia,,+56-9-7613-1665,,Colmena,"Full time",585102,64344,2025-08-11,1422000,,"No disponible",27473,Ceuta,Palencia,2025-08-22,2025-08-23,37,,158000,"VRZ (Croacia)",,"{Agua,TV,Calefacción,Baño}",{},,"{Alcobendas,""Alcalá de Guadaira""}"
"Sr. Julio Casillas Meraz",16831151,6,,,,+56-9-3193-3332,Nocturno,Colmena,"Full time",585184,64637,2026-06-01,612000,,"No disponible",54235,León,Coslada,2026-11-20,2026-11-21,49,1745,68000,"ÖBB (Austria)",,"{Comida,""Aire acondicionado"",Agua,TV}",{},,
"Maricarmen González Reynoso",2005899,4,,magore,nc6EqTIz4mV,,Nocturno,Colmena,"Part time",585554,69461,2026/03/10,,8,"No disponible",45754,Salamanca,Málaga,,2026/10/04,,2545,119000,Turbus,Cama,"{Comida,Agua,Wifi}",{},,{}
,22625311,4,,sr.3268,tJ91RtOCjzfhlwi4,"+56 9 4226 5365",Diurno,,"Part time",585627,,2025-07-19,810000,9,"No disponible",39746,Cartagena,COSLADA!!!,,2025-09-16,44,1370,90000,"EME Bus",Cama,"{Comida,Calefacción,""Aire acondicionado""}",{},,{}
,3036178,4,,Sr.armas,4wBkPJSbY,"+56 2 8675 5268",Diurno,Colmena,"Full time",585710,65157,2026-03-30,1472000,8,"No disponible",11662,"la coruña#","Torrejón de Ardoz",2026-08-03,2026-08-05,46,,184000,,Cama,"{Agua,Baño,""Asientos reclinables""}",,,{}
"Cristian Garay Feliciano",11394872,8,,crgafe,ppc8O0ZM,"+56 2 0904 5128",Nocturno,"Más vida","Full time",585953,72199,2025-01-06,52000,1,"No disponible",,"palma de mallorca#","San Sebastían de los Reyes",2025-05-29,,9,2041,52000,,,{},"{Inca,Linares}","Clase ejecutiva",
"Catalina Delgado Gaona",3353539,10,,cadega,,"+56 2 3814 1860",Nocturno,"Más vida","Full time",586004,71975,2025-04-12,-422000,2,"No disponible",29995,Alicante,Irún,2025-06-20,2025-06-21,,2615,211000,Amtrak,,"{TV,Wifi,""Aire acondicionado"",Baño,Calefacción}",{},,{Badajoz}
"Adán Villa Saucedo",11246097,7,,adán1383,3yb0crBYNUZsC,"+56 9 6290 6688",,Banmédica,,586183,65461,,,3,"No disponible",43708,"La Coruña","San Sebastián",2025-02-24,2025-02-25,50,1637,81000,"DSB (Dinamarca)",,"{""Aire acondicionado"",Agua,Calefacción,TV}",{},,"{Bilbao,""Chiclana de la Frontera"",Baracaldo,""Dos Hermanas"",Zaragoza}"
"Ana Frías Terán",0,4,,anfrte,MXGOlN286S,"+56 2 8389 3727",Diurno,Colmena,,586417,67322,2025-03-28,3486000,7,"No disponible",,gecho#,"Collado Villalba",2026-05-29,2026-05-31,89,4247,,"TGV (SNCF)",,"{Calefacción,""Asientos reclinables"",Baño,TV,""Aire acondicionado"",Wifi,Agua}",{},,"{Zaragoza,Orense}"
"Micaela Salas Medrano",11757796,1,,micaela9940,L193Oh59,"+56 2 3047 4974",Diurno,Fonasa,"Full time",586701,69490,2025/01/12,2976000,6,"No disponible",94984,Málaga,,2025/04/09,,33,3655,496000,,,"{Comida,TV,Agua,""Asientos reclinables"",Calefacción,Wifi,Baño}",,,"{""Talavera de la Reina"",""El Puerto de Santa María"",""Torrejón de Ardoz""}"
"Cecilia Suárez Varela",16079779,7,,cecilia9245,,"+56 9 6297 8537",Nocturno,Consalud,"Full time",586823,67707,2025-01-01,1884000,6,"No disponible",24264,Zaragoza,Algeciras,2025-01-03,2025-01-05,,3596,314000,JetBlue,,{},"{Torrelavega,Tarragona,Inca,""Castellón de la Plana""}",,{}
"Sta. Sonia Sáenz Chapa",0,2,,sta.1558,L6JEznj1b4QtqV,"+56 2 7391 3877",Diurno,Fonasa,"Part time",586846,,2025-02-25,249000,3,"No disponible",20140,cáceres#,Zamora,2025-08-11,2025-08-13,32,4102,83000,"Flecha Bus",Cama,"{""Asientos reclinables"",Comida,Calefacción}",,,{}
"Sofia Saldaña Lovato",19807448,9,,sosalo,thoDzSYM7,+56-9-2641-4850,,"Más vida",,586965,70147,,330000,3,"No disponible",47197,Vitoria,"SANLúCAR DE BARRAMEDA!!!",2026/03/05,2026/03/05,7,1369,110000,"Turkish Airlines",,{},{},"Clase económica",
"Rosa Lozada Aguirre",24520488,4,,roloag,cgn0lpJ7jfdvsjR0,,Nocturno,,"Part time",587265,70016,2025-04-29,585000,5,"No disponible",73030,,Valladolid,2025-08-15,2025-08-16,48,1932,117000,Avanza,Cama,"{""Asientos reclinables"",TV,Agua}",{},,
"Lorenzo Mora Rojas",10137915,9,,Lorenzorojas,h87dU4D2HvOMOo,"+56 2 5016 2875",Diurno,Banmédica,"Part time",587388,62662,2025-07-12,-1341000,,"No disponible",39262,"San Cristróbal de la Laguna",Tarrasa,2026-03-16,2026-03-18,50,,149000,Socibus,Cama,"{Wifi,Agua,""Asientos reclinables""}",{},,
"Lorena Gálvez Bétancourt",0,6,,lorena6307,HnMOgBjm0,"+56 9 1998 1093",Nocturno,Colmena,"Part time",587435,70477,2025-01-06,130000,1,"No disponible",94927,,,2025-12-05,2025-12-05,55,828,130000,,,{},{Málaga},"Clase económica",{}
"María Cristina Amador Delatorre",12898601,10,,maría1558,exVL37n2Zdv7,"+56 9 3701 5481",Nocturno,,"Full time",587578,66764,2025-02-16,978000,3,"No disponible",82925,Cáceres,ALGECIRAS!!!,2025-03-12,2025-03-14,12,3961,,"ŽSSK (Eslovaquia)",,"{Baño,Wifi,TV,Agua,""Aire acondicionado"",""Asientos reclinables"",Calefacción}",{},,"{""Palma de Mallorca"",Fuengirola,Cartagena}"
"Susana Paredes Medina",10634536,8,,,,"+56 2 8055 4815",Nocturno,Fonasa,"Full time",587809,65090,,-720000,9,"No disponible",,Logroño,Gerona,2025/10/16,2025/10/17,43,2273,80000,"Buses Nilahue",Cama,"{TV,""Asientos reclinables"",""Aire acondicionado""}",{},,{}
"Germán Burgos Soria",17339718,6,,germán4316,sIvg0NVgA,"+56 9 5757 3210",Nocturno,Colmena,"Full time",587818,66867,2025-04-25,-1593000,9,,68182,Zamora,"SANLúCAR DE BARRAMEDA!!!",2025-11-01,2025-11-02,,,177000,"ŽSSK (Eslovaquia)",,"{TV,Comida,""Asientos reclinables"",Wifi}",{},,"{Tarrasa,Toledo,Fuengirola}"
"Sr. Micaela Matos Valentín",3727187,10,,sr.2155,aXOTvv6AXxDG0,+56-2-1075-2946,,Colmena,"Full time",587991,61304,2025/04/13,-1746000,,,26777,Gerona,Bilbao,2025/05/27,2025/05/27,5,486,194000,"ZS (Eslovenia)",,{},,,{}
,26185346,9,,sra.3290,lcnQw4e9hTP,"+56 2 5831 6851",Diurno,Fonasa,"Part time",588078,66053,2026-06-23,-240000,10,"No disponible",,Elche,Jaén,2026-07-12,2026-07-12,,177,24000,,Normal,"{""Aire acondicionado"",""Asientos reclinables"",Calefacción}",{},,{}
"Gilberto Solís Montero",13780105,1,,gisomo,,"+56 9 2487 7061",,,"Full time",588121,70991,2026-07-03,123000,1,"No disponible",,Gerona,"Sanlúcar de Barrameda",2026-07-05,2026-07-05,45,922,123000,"ETN Turistar",Cama,"{TV,Baño,Calefacción}",{},,{}
"Estela Llamas Tafoya",9377667,4,,esllta,6nTEQfXASAN,"+56 9 8890 1104",Nocturno,,"Full time",588203,68423,2025-09-06,792000,,"No disponible",17372,baracaldo#,"Cerdañola del Vallés",2026-04-12,2026-04-14,,2917,,BoltBus,Cama,"{TV,""Asientos reclinables"",Agua}",{},,{}
"Sra. Alicia Sisneros Burgos",3579155,8,,Sra.burgos,W0Mo0Y3Mb237Q,"+56 9 5347 2527",Nocturno,,"Full time",,69846,,-1056000,6,"No disponible",3205,,Alcobendas,2026-05-26,2026-05-27,79,2466,176000,"Etihad Airways",,{},{Mijas},"Primera clase",{}
"Eva Tórrez Villaseñor",16591584,4,,eva6479,,"+56 9 9120 6974",Nocturno,Fonasa,"Part time",,64785,2025-01-16,-588000,2,"No disponible",26098,segovia#,"Talavera de la Reina",2025-07-17,2025-07-18,70,2863,294000,"Spirit Airlines",,{},,,{}
"Ester Gollum Espinosa",22457322,7,,Esterespinosa,JB6x7YsM,+56-9-0284-6091,,Banmédica,,588950,,2025/01/25,664000,4,"No disponible",29359,Lérida,,2025/02/14,2025/02/15,41,2014,166000,"Frontier Airlines",,{},"{""Chiclana de la Frontera"",""Dos Hermanas""}","Clase económica",{}
"Mateo Valladares Limón",3379221,2,,Mateolimón,NbA9cH5x9AwXAY,"+56 2 4906 7940",Diurno,Colmena,"Part time",589044,,2025-11-14,,1,"No disponible",85855,inca#,"Jerez de la Frontera",2026-01-30,2026-02-01,,3975,,"El Rápido Internacional",Cama,"{Wifi,""Asientos reclinables"",Agua}",{},,{}
"Julia Mora Villalpando",10143529,6,,julia6019,,+56-9-1902-7337,,"Más vida","Part time",589394,,2025-11-02,996000,,"No disponible",13748,Gerona,"La Línea de la Concepción",2026-07-05,2026-07-07,43,3894,166000,Megabus,Cama,"{Agua,Baño,Wifi}",{},,{}
"Gilberto Alejandro Lomeli",14582202,5,,giallo,H9st31HmKm,"+56 9 7354 6528",Nocturno,,"Part time",589722,71136,2025-05-10,660000,5,"No disponible",85714,sevilla#,Marbella,2026-09-10,2026-09-10,86,313,132000,,,{},{},,
